Id,Label,0,1,2,3,4,5,6,7
AS131349,AS131349,VN_ASN,8.208,131349,Digital telecomminication service joint stock,"AS131349
Digital telecomminication service joint stock","#BDC3C7",stub,
AS131350,AS131350,VN_ASN,8.208,131350,Dak Nong Department of Information and Communications,"AS131350
Dak Nong Department of Information and Communications","#BDC3C7",stub,
AS131351,AS131351,VN_ASN,8.832,131351,Orient commercial joint stock bank,"AS131351
Orient commercial joint stock bank","#8E44AD",transit,
AS131353,AS131353,VN_ASN,9.04,131353,NhanHoa Software company,"AS131353
NhanHoa Software company","#8E44AD",transit,
AS131354,AS131354,VN_ASN,8.416,131354,Prudential Vietnam Assurance Private limited,"AS131354
Prudential Vietnam Assurance Private limited","#8E44AD",transit,
AS131357,AS131357,VN_ASN,8.832,131357,Duy Tan University,"AS131357
Duy Tan University","#8E44AD",transit,
AS131358,AS131358,VN_ASN,8.416,131358,Telehouse international corporation of vietnam,"AS131358
Telehouse international corporation of vietnam","#8E44AD",transit,
AS131360,AS131360,VN_ASN,8.416,131360,NATIONAL PAYMENT CORPORATION OF VIET NAM,"AS131360
NATIONAL PAYMENT CORPORATION OF VIET NAM","#8E44AD",transit,
AS131362,AS131362,VN_ASN,8.416,131362,HaNoi Stock Exchange,"AS131362
HaNoi Stock Exchange","#8E44AD",transit,
AS131363,AS131363,VN_ASN,8.624,131363,Department of Information Technology - General Department of Taxation,"AS131363
Department of Information Technology - General Department of Taxation","#8E44AD",transit,
AS131364,AS131364,VN_ASN,8.832,131364,Military commercial join stock bank,"AS131364
Military commercial join stock bank","#8E44AD",transit,
AS131365,AS131365,VN_ASN,8.416,131365,Digital Infrastructure Center - Digital Transformation Department - Ministry of Agriculture and Environment,"AS131365
Digital Infrastructure Center - Digital Transformation Department - Ministry of Agriculture and Environment","#8E44AD",transit,
AS131366,AS131366,VN_ASN,8.208,131366,Lanit Technology and Communication Joint Stock Company,"AS131366
Lanit Technology and Communication Joint Stock Company","#BDC3C7",stub,
AS131367,AS131367,VN_ASN,8.416,131367,Viet Online trading service corporation,"AS131367
Viet Online trading service corporation","#8E44AD",transit,
AS131368,AS131368,VN_ASN,8.416,131368,Petro Viet Nam Oil Corporation,"AS131368
Petro Viet Nam Oil Corporation","#8E44AD",transit,
AS131369,AS131369,VN_ASN,8.208,131369,Digital Infrastructure Center - Digital Transformation Department - Ministry of Agriculture and Environment,"AS131369
Digital Infrastructure Center - Digital Transformation Department - Ministry of Agriculture and Environment","#BDC3C7",stub,
AS131371,AS131371,VN_ASN,8.416,131371,BaoMinh securities company,"AS131371
BaoMinh securities company","#8E44AD",transit,
AS131372,AS131372,VN_ASN,8.416,131372,VIVAS-VN,"AS131372
VIVAS-VN","#8E44AD",transit,
AS131373,AS131373,VN_ASN,8.416,131373,Information Technology Center - Ministry of Science and Technology,"AS131373
Information Technology Center - Ministry of Science and Technology","#8E44AD",transit,
AS131374,AS131374,VN_ASN,8.208,131374,HQG Technology Solutions Joint Stock Company,"AS131374
HQG Technology Solutions Joint Stock Company","#BDC3C7",stub,
AS131375,AS131375,VN_ASN,8.832,131375,Information Technology Center - Ministry of Science and Technology,"AS131375
Information Technology Center - Ministry of Science and Technology","#8E44AD",transit,
AS131376,AS131376,VN_ASN,8.416,131376,KB Securities Vietnam Joint Stock Company,"AS131376
KB Securities Vietnam Joint Stock Company","#8E44AD",transit,
AS131378,AS131378,VN_ASN,8.208,131378,Cloud Viet Technology Company Limited,"AS131378
Cloud Viet Technology Company Limited","#BDC3C7",stub,
AS131379,AS131379,VN_ASN,8.624,131379,Modern Bank of Vietnam Limited,"AS131379
Modern Bank of Vietnam Limited","#8E44AD",transit,
AS131380,AS131380,VN_ASN,8.416,131380,Niteco VN,"AS131380
Niteco VN","#8E44AD",transit,
AS131381,AS131381,VN_ASN,8.208,131381,Department of Information Technology and Customs Statistics,"AS131381
Department of Information Technology and Customs Statistics","#BDC3C7",stub,
AS131382,AS131382,VN_ASN,8.208,131382,CFOX TECH COMPANY LIMITED,"AS131382
CFOX TECH COMPANY LIMITED","#BDC3C7",stub,
AS131383,AS131383,VN_ASN,8.832,131383,PVI Holdings,"AS131383
PVI Holdings","#8E44AD",transit,
AS131385,AS131385,VN_ASN,8.208,131385,VTV-VN,"AS131385
VTV-VN","#BDC3C7",stub,
AS131386,AS131386,VN_ASN,9.04,131386,Long Van System Solution JSC,"AS131386
Long Van System Solution JSC","#8E44AD",transit,
AS131387,AS131387,VN_ASN,8.416,131387,Sun Life Vietnam Insurance Company Limited,"AS131387
Sun Life Vietnam Insurance Company Limited","#8E44AD",transit,
AS131389,AS131389,VN_ASN,8.416,131389,SeABank,"AS131389
SeABank","#8E44AD",transit,
AS131390,AS131390,VN_ASN,8.416,131390,Center for E-commerce and Digital Technology Development,"AS131390
Center for E-commerce and Digital Technology Development","#8E44AD",transit,
AS131391,AS131391,VN_ASN,8.624,131391,Vietnam-Asia Commercial Joint Stock Bank,"AS131391
Vietnam-Asia Commercial Joint Stock Bank","#8E44AD",transit,
AS131392,AS131392,VN_ASN,8.416,131392,GMO-Z.com Runsystem Joint Stock Company,"AS131392
GMO-Z.com Runsystem Joint Stock Company","#8E44AD",transit,
AS131396,AS131396,VN_ASN,8.416,131396,Rmit International University Vietnam,"AS131396
Rmit International University Vietnam","#8E44AD",transit,
AS131397,AS131397,VN_ASN,8.208,131397,Hanoi Medical University,"AS131397
Hanoi Medical University","#BDC3C7",stub,
AS131398,AS131398,VN_ASN,8.416,131398,LOTTE INNOVATE VIETNAM COMPANY LIMITED,"AS131398
LOTTE INNOVATE VIETNAM COMPANY LIMITED","#8E44AD",transit,
AS131401,AS131401,VN_ASN,8.208,131401,Department of Science and Technology of Vinh Phuc province,"AS131401
Department of Science and Technology of Vinh Phuc province","#BDC3C7",stub,
AS131402,AS131402,VN_ASN,8.416,131402,FPT Software Company limited,"AS131402
FPT Software Company limited","#8E44AD",transit,
AS131403,AS131403,VN_ASN,8.416,131403,ICSOFT Joint Stock Company,"AS131403
ICSOFT Joint Stock Company","#8E44AD",transit,
AS131404,AS131404,VN_ASN,8.208,131404,Masters Technology Corporation,"AS131404
Masters Technology Corporation","#BDC3C7",stub,
AS131405,AS131405,VN_ASN,8.416,131405,Saigon Newport,"AS131405
Saigon Newport","#8E44AD",transit,
AS131407,AS131407,VN_ASN,8.208,131407,Sai Gon CTT,"AS131407
Sai Gon CTT","#BDC3C7",stub,
AS131408,AS131408,VN_ASN,8.624,131408,TPBANK-VN,"AS131408
TPBANK-VN","#8E44AD",transit,
AS131409,AS131409,VN_ASN,8.416,131409,ACT Telecomunication Joint Stock Company,"AS131409
ACT Telecomunication Joint Stock Company","#8E44AD",transit,
AS131410,AS131410,VN_ASN,8.416,131410,Vietnam Cable Television Corporation Joint Stock Company,"AS131410
Vietnam Cable Television Corporation Joint Stock Company","#8E44AD",transit,
AS131411,AS131411,VN_ASN,8.208,131411,VietNamNet,"AS131411
VietNamNet","#BDC3C7",stub,
AS131412,AS131412,VN_ASN,8.624,131412,State Audit Office of Vietnam,"AS131412
State Audit Office of Vietnam","#8E44AD",transit,
AS131413,AS131413,VN_ASN,8.624,131413,VINGROUP JOINT STOCK COMPANY,"AS131413
VINGROUP JOINT STOCK COMPANY","#8E44AD",transit,
